trade_id	insider_name	symbol	txn_code	transaction_date	txn_price	shares	price+7day	PnL
5318	Bawa Aparna	ZM	S	2024-09-10	66.2851	-831	68.11	-1516.49
5319	Crehan Shane	ZM	S	2024-09-10	66.87	-1550	68.11	-1922.0
5320	Sankarlingam Velchamy	ZM	S	2024-09-10	66.87	-3614	68.11	-4481.36
5321	Crehan Shane	ZM	S	2024-09-11	66.61	-1463	66.04	833.91
5325	Steckelberg Kelly	ZM	S	2024-09-18	67.4266	-813	67.95	-425.52
5331	Steckelberg Kelly	ZM	S	2024-10-02	67.7942	-8901	69.97	-19366.8
5337	Crehan Shane	ZM	S	2024-10-07	69.09	-2478	67.89	2973.6
5340	Bawa Aparna	ZM	S	2024-10-08	68.12	-10871	68.42	-3261.3
5348	Crehan Shane	ZM	S	2024-10-08	68.3	-2383	68.42	-285.96
5789	Farquhar Scott	TEAM	S	2024-12-10	266.8572	-1453	269.79	-4261.36
5800	Cannon-Brookes Michael	TEAM	S	2024-12-10	275.6778	-900	269.79	5299.02
5820	Farquhar Scott	TEAM	S	2024-12-11	270.48	-350	250.19	7101.5
5826	Cannon-Brookes Michael	TEAM	S	2024-12-11	272.7371	-1815	250.19	40922.99
5832	Cannon-Brookes Michael	TEAM	S	2024-12-12	279.0805	-3124	251.23	87004.96
5838	Farquhar Scott	TEAM	S	2024-12-12	278.2812	-2868	251.23	77582.84
5844	Cannon-Brookes Michael	TEAM	S	2024-12-13	277.3128	-1293	257.26	25928.27
5848	Farquhar Scott	TEAM	S	2024-12-13	276.712	-3581	257.26	69657.61
5852	Cannon-Brookes Michael	TEAM	S	2024-12-16	278.1305	-2311	251.4	61774.19
5857	Farquhar Scott	TEAM	S	2024-12-16	278.1306	-2311	251.4	61774.42
5862	Cannon-Brookes Michael	TEAM	S	2024-12-17	270.8228	-450	257.49	5999.76
5871	Farquhar Scott	TEAM	S	2024-12-17	272.2316	-250	257.49	3685.4
5880	Farquhar Scott	TEAM	S	2024-12-18	261.3987	-800	254.24	5726.96
5897	Cannon-Brookes Michael	TEAM	S	2024-12-18	256.4429	-186	254.24	409.74
5914	Cannon-Brookes Michael	TEAM	S	2024-12-19	255.4818	-181	254.24	224.77
5922	Farquhar Scott	TEAM	S	2024-12-19	255.4818	-181	254.24	224.77
6045	Taylor Ryan D.	PLTR	S	2024-08-21	32.3166	-91183	30.36	178408.66
6047	Glazer David A.	PLTR	S	2024-08-21	32.2589	-41969	30.36	79694.93
6049	Sankar Shyam	PLTR	S	2024-08-21	32.2589	-80691	30.36	153224.14
6052	Cohen Stephen Andrew	PLTR	S	2024-08-21	32.2589	-166329	30.36	315842.14
6055	Karp Alexander C.	PLTR	S	2024-08-21	32.2589	-192878	30.36	366256.03
6058	Sankar Shyam	PLTR	S	2024-08-22	32.3466	-50000	31.0	67330.0
6061	Karp Alexander C.	PLTR	S	2024-08-22	32.9369	-39975	31.0	77427.58
6064	Planishek Heather A.	PLTR	S	2024-08-29	30.67	-14016	30.16	7148.16
6065	Moore Alexander D.	PLTR	S	2024-09-03	31.382	-2004	34.76	-6769.51
6069	Stat Lauren Elaina Friedman	PLTR	S	2024-09-09	33.19	-6050	36.31	-18876.0
6071	Planishek Heather A.	PLTR	S	2024-09-09	33.7427	-20000	36.31	-51346.0
6074	Taylor Ryan D.	PLTR	S	2024-09-10	35.0114	-4461	36.45	-6417.59
6077	Taylor Ryan D.	PLTR	S	2024-09-12	35.0175	-155539	36.83	-281914.44
6297	Belsky Scott	ADBE	S	2024-10-25	483.42	-481	482.8	298.22
6298	Forusz Jillian	ADBE	S	2024-10-29	484.9741	-676	486.42	-977.43
6304	Banse Amy	ADBE	S	2024-12-06	550.0	-606	465.69	51091.86
6823	O'Toole Amie Thuener	GOOGL	S	2024-10-01	168.84	-1367	164.38	6096.82
6824	Pichai Sundar	GOOGL	S	2024-10-02	168.56	-600	161.86	4020.0
6835	HENNESSY JOHN L	GOOGL	S	2024-10-14	165.0	-700	164.07	651.0
6839	O'Toole Amie Thuener	GOOGL	S	2024-10-15	167.23	-2834	165.14	5923.06
6840	Pichai Sundar	GOOGL	S	2024-10-16	166.6139	-12396	162.78	47525.02
6845	Shriram Kavitark Ram	GOOGL	S	2024-10-30	180.78	-9000	176.51	38430.0
6847	O'Toole Amie Thuener	GOOGL	S	2024-11-01	171.42	-1367	178.35	-9473.31
6848	ARNOLD FRANCES	GOOGL	S	2024-11-04	171.06	-441	180.35	-4096.89
6849	Pichai Sundar	GOOGL	S	2024-11-06	178.37	-1800	178.88	-918.0
6853	Shriram Kavitark Ram	GOOGL	S	2024-11-07	177.41	-9000	175.58	16470.0
6855	HENNESSY JOHN L	GOOGL	S	2024-11-12	182.0302	-94	178.12	367.56
